pool,pool_name,size_usd,range_pct,hold_hours,rebal_rule,hedge_strategy,hedge_ratio_used,dynamic_hedge_avg,events_total,events_in_range,in_range_pct,rebalance_count,lp_fee_usd,il_usd,hedge_notional_usd,funding_apr_pct,funding_income_usd,perp_trading_fee_usd,rebal_gas_usd,residual_delta_risk_usd,gas_initial_usd,net_pnl_unhedged_usd,net_pnl_hedged_usd,signal_noise_hedged,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,gt_0.5pct,dynamic,0.574962,0.574962,28483,28483,1.000000,25394,144.000000,28.686676,287.481176,0.825600,0.006503,0.057496,4037.646000,8.500753,0.079500,115.233824,-3930.963923,6.201737,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,gt_1pct,static_0.5,0.500000,,28483,28483,1.000000,19884,144.000000,414.942972,250.000000,0.825600,0.005655,0.050000,3161.556000,10.000000,0.079500,-271.022472,-3442.622817,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,gt_1pct,static_0.75,0.750000,,28483,28483,1.000000,19884,144.000000,414.942972,375.000000,0.825600,0.008482,0.075000,3161.556000,5.000000,0.079500,-271.022472,-3437.644990,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,gt_1pct,dynamic,0.574962,0.574962,28483,28483,1.000000,19884,144.000000,414.942972,287.481176,0.825600,0.006503,0.057496,3161.556000,8.500753,0.079500,-271.022472,-3441.130219,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,gt_2pct,static_0.5,0.500000,,28483,28483,1.000000,8589,144.000000,2129.831185,250.000000,0.825600,0.005655,0.050000,1365.651000,10.000000,0.079500,-1985.910685,-3361.606030,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,gt_2pct,static_0.75,0.750000,,28483,28483,1.000000,8589,144.000000,2129.831185,375.000000,0.825600,0.008482,0.075000,1365.651000,5.000000,0.079500,-1985.910685,-3356.628203,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,gt_2pct,dynamic,0.574962,0.574962,28483,28483,1.000000,8589,144.000000,2129.831185,287.481176,0.825600,0.006503,0.057496,1365.651000,8.500753,0.079500,-1985.910685,-3360.113432,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,10,24,none,static_0.5,0.500000,,28483,28483,1.000000,0,74.400000,5711.991787,250.000000,0.825600,0.005655,0.050000,0.000000,10.000000,0.079500,-5637.671287,-5647.715632,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,10,24,none,static_0.75,0.750000,,28483,28483,1.000000,0,74.400000,5711.991787,375.000000,0.825600,0.008482,0.075000,0.000000,5.000000,0.079500,-5637.671287,-5642.737805,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,10,24,none,dynamic,0.574962,0.574962,28483,28483,1.000000,0,74.400000,5711.991787,287.481176,0.825600,0.006503,0.057496,0.000000,8.500753,0.079500,-5637.671287,-5646.223034,0.000000,NO_GO
