run_id,pool_id,token_pair,chain,cost_scenario,virtual_notional_usd,quote_method,gas_price_wei,eth_usd,quote_gas_estimate,swap_gas_units,mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,entry_swap_cost_usd,exit_swap_cost_usd,lp_add_fixed_cost_usd,lp_remove_fixed_cost_usd,collect_fixed_cost_usd,total_fixed_cost_usd,proportional_slippage_cost_usd,total_cost_usd,confidence,future_probe_only_fields,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,diagnostic_low,2000.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,28877491,28877491,180000,220000,150000,70000,0.29177033352023996,0.29177033352023996,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,1599.996954819742,1600.5877196527763,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,realistic_mid,2000.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,28877491,28877491,220000,280000,190000,95000,0.34325921590616465,0.34325921590616465,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,1999.9961935246774,2000.6932317210385,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,conservative_high,2000.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,28877491,28877491,280000,340000,240000,130000,0.4119110590873976,0.4119110590873976,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,2499.995241905847,2500.8348258407354,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,base,diagnostic_low,20.0,pool_math_fallback,5100000.0,1981.1232671735268,0,0,180000,220000,150000,70000,0.0,0.0,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,1.1085060987495705e-15,0.007224165993749372,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,base,realistic_mid,20.0,pool_math_fallback,6000000.0,1981.1232671735268,0,0,220000,280000,190000,95000,0.0,0.0,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,1.385632623436963e-15,0.010519764548692813,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,base,conservative_high,20.0,pool_math_fallback,7200000.0,1981.1232671735268,0,0,280000,340000,240000,130000,0.0,0.0,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,1.7320407792962036e-15,0.01576181671363431,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,base,diagnostic_low,100.0,pool_math_fallback,5100000.0,1981.1232671735268,0,0,180000,220000,150000,70000,0.0,0.0,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,7.865633149106789e-16,0.00722416599374905,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,base,realistic_mid,100.0,pool_math_fallback,6000000.0,1981.1232671735268,0,0,220000,280000,190000,95000,0.0,0.0,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,9.832041436383485e-16,0.01051976454869241,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,base,conservative_high,100.0,pool_math_fallback,7200000.0,1981.1232671735268,0,0,280000,340000,240000,130000,0.0,0.0,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,1.2290051795479357e-15,0.015761816713633806,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL/WETH,base,diagnostic_low,500.0,pool_math_fallback,5100000.0,1981.1232671735268,0,0,180000,220000,150000,70000,0.0,0.0,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,7.617954956657563e-16,0.007224165993749025,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
