rank,pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,risk_score,best_size_usdc,best_range_label,best_range_pct,expected_fee_usd_per_day,expected_il_usd_per_day,gas_usd_per_cycle,net_usd_per_day,fee_to_gas_ratio,score,go_no_go,reason
12,0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,25,10.0,narrow_5pct,0.05,0.074314,0.0645,0.3,-0.290186,0.2477,0.2149,NO_GO,risk=MEDIUM
13,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,25,10.0,narrow_5pct,0.05,0.063046,0.06006,0.3,-0.297014,0.2102,0.2126,NO_GO,risk=MEDIUM
14,0x4e962bb3889bf030368f56810a9c96b83cb3e778,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,9171570.3533,117596882.184985,1.024,MEDIUM,25,10.0,narrow_5pct,0.05,0.064109,0.06144,0.3,-0.297331,0.2137,0.2125,NO_GO,risk=MEDIUM
15,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,aerodrome,USDC / cbBTC 0.05%,USDC,cbBTC,5,206784.6605,902589.35858536,-0.299,MEDIUM,25,10.0,narrow_5pct,0.05,0.021824,0.01794,0.3,-0.296116,0.0727,0.2117,NO_GO,risk=MEDIUM
16,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,aerodrome,PROS / USDC 0.01%,PROS,USDC,1,887244.2829,2664378.25917972,0.005,MEDIUM,25,10.0,narrow_5pct,0.05,0.003003,0.0003,0.3,-0.297297,0.01,0.2109,NO_GO,risk=MEDIUM
17,0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,aerodrome,CHECK / USDC 0.25%,CHECK,USDC,25,882055.3507,1140467.20952414,0.595,MEDIUM,25,1.0,narrow_5pct,0.05,0.003232,0.00357,0.3,-0.300338,0.0108,0.21,NO_GO,risk=MEDIUM
18,0x7501bc8bb51616f79bfa524e464fb7b41f0b10fb,aerodrome,msUSD / USDC 0.05%,msUSD,USDC,5,20290280.0778,4553247.59333801,-0.051,MEDIUM,25,1.0,narrow_5pct,0.05,0.000112,0.000306,0.3,-0.300194,0.0004,0.2099,NO_GO,risk=MEDIUM
19,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,aerodrome,USDT / USDC 0.01%,USDT,USDC,1,1090337.8093,15400336.797491,0.444,MEDIUM,25,1.0,narrow_5pct,0.05,0.001412,0.002664,0.3,-0.301252,0.0047,0.2097,NO_GO,risk=MEDIUM
20,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,aerodrome,WETH / cbBTC 0.05%,WETH,cbBTC,5,1323714.541,5144867.76176446,0.512,MEDIUM,25,1.0,narrow_5pct,0.05,0.001943,0.003072,0.3,-0.301129,0.0065,0.2097,NO_GO,risk=MEDIUM
21,0x841c1a22d9a505cbba3e9bf90fd43e1201a09932ca0a90816579346be5f092af,aerodrome,USDC / USDT 0.01%,USDC,USDT,1,389491.3608,15119935.8025296,-0.91,MEDIUM,25,1.0,narrow_5pct,0.05,0.003882,0.00546,0.3,-0.301578,0.0129,0.2096,NO_GO,risk=MEDIUM
