pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,size_usdc,range_label,range_pct,expected_fee_usd_per_day,expected_il_usd_per_day,gas_usd_per_cycle,net_usd_per_day,fee_to_gas_ratio,il_pct_per_day,can_tiny_live
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,1.0,narrow_5pct,0.05,0.007431,0.00645,0.3,-0.299019,0.0248,0.00645,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,3.0,narrow_5pct,0.05,0.022294,0.01935,0.3,-0.297056,0.0743,0.00645,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,5.0,narrow_5pct,0.05,0.037157,0.03225,0.3,-0.295093,0.1239,0.00645,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,10.0,narrow_5pct,0.05,0.074314,0.0645,0.3,-0.290186,0.2477,0.00645,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,1.0,medium_15pct,0.15,0.007431,0.003225,0.3,-0.295794,0.0248,0.003225,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,3.0,medium_15pct,0.15,0.022294,0.009675,0.3,-0.287381,0.0743,0.003225,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,5.0,medium_15pct,0.15,0.037157,0.016125,0.3,-0.278968,0.1239,0.003225,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,10.0,medium_15pct,0.15,0.074314,0.03225,0.3,-0.257936,0.2477,0.003225,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,1.0,wide_40pct,0.4,0.007431,0.001075,0.3,-0.293644,0.0248,0.001075,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,2536781.7205,37703549.1837934,1.075,MEDIUM,3.0,wide_40pct,0.4,0.022294,0.003225,0.3,-0.280931,0.0743,0.001075,False
