pool_id,window,block_number,tx_hash,log_index,sender,recipient,amount0,amount1,tick
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759091,0xe9ed183d7aa7df4bb834d045670749249aba1855068da693f2897214c9f7d341,66,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,0x76801132a22801640284cd67f7dd41fed2926b6a,-1416701389714847753431,2048110218403119360,-65396
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759092,0x0feec9b124e89ba9d72b929ba514090fd43f10898dcefb82270e683e72963d4e,71,0xf92aa5d589c78c199636867ea048a3ec64ac5d82,0xf92aa5d589c78c199636867ea048a3ec64ac5d82,86597373788251310161,-125170643375643274,-65396
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759092,0x0feec9b124e89ba9d72b929ba514090fd43f10898dcefb82270e683e72963d4e,83,0xf92aa5d589c78c199636867ea048a3ec64ac5d82,0xf92aa5d589c78c199636867ea048a3ec64ac5d82,28744087546495916668,-41547553492616464,-65396
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759092,0xe733ec084d81a6b61e2207b3f95bfd872a94b8463604c25390839bff37445136,106,0x904533e85d709dfd68bab4e185b65f3a57d62535,0x904533e85d709dfd68bab4e185b65f3a57d62535,37563189669835042132,-54294884334882348,-65396
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759092,0x642196b6bc453fe5dfb5fa61d09b2f63539e9bc7cd5d88f83c87ee0509c3d07d,113,0xb8a7895ff54efc999e0fa1391e7be489b68883b6,0xb8a7895ff54efc999e0fa1391e7be489b68883b6,25582653648371312796,-36977843793740004,-65396
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759096,0x6ad051e82c59ccd6d14bd154eadd3afa65c0a8c3a198e6bd3c69fb2c4f35cbd7,34,0x0501f595d17dd90ff11a9873692ee3f8d478f4e5,0x0501f595d17dd90ff11a9873692ee3f8d478f4e5,3498389200000000000,-5056661771256554,-65396
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759097,0x9622fb1f1cafbf20bc10a2336539e25d8cd091b9bb3ef7f89e6cf32c226a3249,298,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,-877830016391530764359,1269110382609662075,-65396
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759098,0x5840656fee336cb2b7f5a5f69139d873575c59daea5c8740dfdb07206ff6f1bd,95,0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2,0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2,344836834381924860000,-498447718374903088,-65396
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759098,0x5840656fee336cb2b7f5a5f69139d873575c59daea5c8740dfdb07206ff6f1bd,105,0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2,0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2,12027844385078115000,-17385659997292838,-65396
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759098,0xe414701f96d3160ce47623218353eb2a2f417b5fee24a793806dca0a308f6d14,291,0x904533e85d709dfd68bab4e185b65f3a57d62535,0x904533e85d709dfd68bab4e185b65f3a57d62535,67570704139688443402,-97670014088091544,-65396
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759099,0x6c8b76887ded8b3110e503e9d5503d092518eb43aae4b72b385985328921548c,22,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,-851853824819611460553,1231573740240385266,-65396
